name,website,companyLogo,description,funding,founded,headquarteredIn,geographicalFocus,typeOfWork,category,requiresDigitalAudience,applicationRequired,remoteWork,minimumAge,equipmentQualSkills,requirements,averageEarnings,timeToFirstDollar,numPeopleMakingMoney,profitModel,profitModelDescription,platformPricing,affiliateLink,founderMessage,founderName,founderTwitter,email,Notes,Signup Link
Service Connection,https://serviceconnection.pro/,Hex SC.jpg (https://dl.airtable.com/.attachments/e4b1f64ecb8438a8d6554aa86bd09742/2cb26423/HexSC.jpg),"Select your skill sets from a wide range of available services such as assembly, delivery, home improvement, installation, repair, smart home, and more. Get paid the same day for completed services!",Bootstrapped,2020,,,Tasks and Services,Gig (work on your time),No,Yes,No,18,"Computer (with internet connection),Smartphone (with data),Backgrouind Check","Valid social security number or business, verifiable proficiency in your chosen skill sets, transportation applicable to services you offer ",45/hour,,,Free,,,,,,,trent@serviceconnection.pro,,
LokaFit,lokafit.com,android-chrome-192x192.png (https://dl.airtable.com/.attachments/ef66a9de3c12aacc22df7564d276df3b/013d3caf/android-chrome-192x192.png),"Host your virtual fitness studio on a platform founded by and for yoga and fitness instructors. Give clients one place to view, register, pay for, and attend your live or on-demand classes!",Bootstrapped,2020,,,"Fitness Instructor, Video Content Creator",SMB (creation of a business),Yes,Yes,Yes,,"Computer (with internet connection),Smartphone (with data)",Fitness instruction skills,500,,20,Percentage Take Rate,20,,,"Our mission is to give teachers the tools to build their virtual business and connect with students in an authentic way. By providing teachers with an easy and integrated platform to host custom content, we help them build trust and connection with their students","Addie Wales, Max Lund",,addie.wales@lokafit.com,,
1v1Me,1v1meapp.com,Group 54.png (https://dl.airtable.com/.attachments/c027d2d10e30252e84f1a6ff1c850aca/0ede8b9a/Group54.png),Play video games for money against other people. Tap into a growing community of gamers or wager with friends on your favorite games like Call of Duty and Fortnite.,$0.75M,2020,,,Gamer,SMB (creation of a business),No,Yes,Yes,18,Computer (with internet connection),Technologies to play specific games,,,,Free,,,,"1v1Me is the best way to make a living from eSports and go pro, starting with being able to play your favorite games for money. Making a living from eSports is almost impossible, and we plan to bridge the gap long term with several different monetization opportunities for gamers. Not only is 1v1Me philosophically aligned with this mission, but our business model also is. Typically, companies in this space will charge 10-20% and take more money away from gamers. Our app is free to use and we take no fees for gamers to compete",Anthony Geranio,https://twitter.com/anthonygeranio,anthony@1v1meapp.com,,
IndiFit,www.indifit.co,IndiFit_1008x240_transparent.png (https://dl.airtable.com/.attachments/27549283ab073ecb87a02d03bdc420d5/c8af887b/IndiFit_1008x240_transparent.png),Business management tools for independent fitness instructors with the support of real humans who care. Power your business with lightning-fast booking from your link in bio or integrate IndiFit into your own website!,$0.15M,2020,,,Fitness Instructor,SMB (creation of a business),Yes,No,Yes,,"Computer (with internet connection),Smartphone (with data)",Fitness instruction skills,,,,Percentage Take Rate,5,,,"We created IndiFit because we believe that fitness instructors deserve more - more than teaching a packed room of students for $25 per class, more than navigating an entrepreneurial journey alone, and more than one-size-fits-all booking tools. We believe that our partners deserve technology built exclusively for fitness entrepreneurs, full ownership of their clients, and 24/7 support from real humans. We're honored to support hundreds of instructors on their entrepreneurial journeys!","Cheryl Kemp, Scott Harris, Adam Tichauer",,cheryl@indifit.co,,
Subport,http://subport.us,subport app icon.png (https://dl.airtable.com/.attachments/fbedc5e10501c86dd5022b47dd0d7084/45f9374b/subportappicon.png),"Create your own subscription app. Customers can subscribe to your membership via your own app and redeem contactless in shop or order ahead. SubPort focuses mostly on independent businesses such as cafes, barbers, chefs, landcaping, and car wash businesses.",Bootstrapped,2020,,,"Chef, Ecommerce, Tasks and Services",SMB (creation of a business),Yes,No,Yes,,Smartphone (with data),"Knowing how to provide your service (making a dish, providing a service).  ",1500,,20,Subscription Fee,40,,,,,,team@subport.us,,
Dabble,http://dabble.co,Dabble Logo.png (https://dl.airtable.com/.attachments/b7badc396560d14639e169c2793d6dd4/9a2a439d/DabbleLogo.png),"Host unique, local experiences, classes, and events. Dabble makes it easy to share your skills and passion to connect to our learning community.",$2.4M,2011,,,Event Organizer,SMB (creation of a business),Yes,No,Yes,13,"Computer (with internet connection),Smartphone (with data)",,400,,5200,Other,,5% fee for any referred bookings. 15% flat fee for tickets sold by Dabble,,,,,hello@dabble.co,,
Fanhouse,https://fanhouse.app,fanhouse-grad-pink.png (https://dl.airtable.com/.attachments/a51f72941303a19eb9f5334a7123c6ea/26d75fe9/fanhouse-grad-pink.png),"Offer a subscription for your Finsta-like content. Post shower thoughts, felt-cute-might-delete-later selfies, and sh*tposts. Connect directly with your fans and earn money by growing your exclusive, authentic community.",Bootstrapped,2020,,,Content Creator,SMB (creation of a business),Yes,No,Yes,,Smartphone (with data),A magnetic personality,500,,100,Percentage Take Rate,10,,,"Fanhouse is a platform that helps the average creator make money for their platform — imagine posting about your life on a finsta or private alt, but with a paywall and monetization features such as tipping and locked messages. Unlike existing platforms that are geared towards creators with specific skills, such as artists on Patreon or adult content creators on OnlyFans, content creators on Fanhouse can post just about anything, from their casual selfies to their shower thoughts, and be supported by fans who want to see real, personal content",Jasmine Rice,https://twitter.com/jasminericegirl,hello@fanhouse.app,,
AspireIQ,www.aspireiq.com,,"Get paid to create content on your terms and work with the right brands that can promote you and help grow your audience. Browse through hundreds of brands looking for influencers and creators, and discover new brands every week.",$22M,2014,,,Content Creator,SMB (creation of a business),Yes,No,Yes,18,"Computer (with internet connection),Smartphone (with data)",,400,,50000,Free,,,,"Aspire is a platform built for brands and their communities. With over 6M creators and 500 brands working together to create visual and written content, Aspire is the largest platform in the world for creators to find brand sponsorships. Aspire helps brands partner with individuals who inspire them to fuel their growth, while empowering creators to earn a living doing what they love — co-creating with their favorite brands",Anand Kishore,https://twitter.com/anandkishore?lang=en,ak@aspireiq.com,,
Trend,trend.io,Trend_Logo (1).png (https://dl.airtable.com/.attachments/c35a30ba4c6346bdd4f09e5590908352/974e5a9f/Trend_Logo1.png),Generate UGC images or videos for e-commerce brands.,$0.7M,2018,,,Content Creator,Gig (work on your time),Yes,Yes,Yes,18,Smartphone (with data),,500,,500,Free,,,,,,,ramon@trend.io,,
LitterRater,www.litterrater.com,9C4F1B2B-1B9A-421B-86F8-F185896CBDB5.png (https://dl.airtable.com/.attachments/fffd32d22f94603ba9bc16e6f1628059/1abe5b57/9C4F1B2B-1B9A-421B-86F8-F185896CBDB5.png),Join a web-based incentive program rewarding folks who report and clean litter in their community! Earn points by reporting or cleaning litter and cash in the points for incentives,Bootstrapped,2017,,,Tasks and Services,Gig (work on your time),No,No,No,,"Computer (with internet connection),Smartphone (with data)",,250,,300,Free,,,,,,,ladson.fishburne@gmail.com,,
FLATLAY,https://flatlay.io/creatives,flatlay_text_gray-2.pdf (https://dl.airtable.com/.attachments/a8af33a9e30cb8761994634e60bb0b5d/c67425d4/flatlay_text_gray-2.pdf),Flatlay is a platfrom that enables you to start a digital storefront for affiliate products in seconds!,$1M,2017,,,Ecommerce,SMB (creation of a business),Yes,No,Yes,,Smartphone (with data),,750,,20000,Free,,,,"Flatlay is the end to end social commerce automation platform for brands, creatives & customers. The platform provides publishing tools to any creatives looking to start a digital storefront in seconds with their content while empowering brands and retailers with a portal to activate their community. The social marketplace identifies & activates customer advocacy through a Content Loyalty Program to drive brand storytelling for more than +1k brands & retailers today",Ali Sammour,,support@theflatlay.com,,
airsubs,airsubs.com,airaubs.png (https://dl.airtable.com/.attachments/12908baec5f73812bcd5a90b38f31e99/0945c437/airaubs.png),"Earn money teaching what you love and instantly launch a beautiful virtual studio for your classes: cooking, Yoga, fitness, meditation, more. Sell live classes and make money while you sleep with on-demand video content, lock in recurring income with memberships, offer private classes, put marketing on autopilot, and grow your brand!",$2.5M,2020,,,"Fitness Instructor,Video Course Creator,Event Organizer",SMB (creation of a business),Yes,Yes,Yes,,"Computer (with internet connection),Smartphone (with data)",Zoom account,,,,Other,,"Starter: $0 per month + 8%, Pro: $25 + 3%, Premier: $50 + 2%, Unlimited: $100 + 1%",,,,,tomas@airsubs.com,,
PICKL,https://pickl.xyz/shopper,691BEEC2-60CA-4ABA-A46B-139532866046.png (https://dl.airtable.com/.attachments/a17bd9897cd66404750f025535ba7a12/2d00a174/691BEEC2-60CA-4ABA-A46B-139532866046.png),Take pictures and answer simple questions about brands at grocery stores. Each competed task pays $5 with same-day cash-out.,$0.2M,2020,,,Tasks and Services,Gig (work on your time),No,No,No,,Smartphone (with data),Transportation,500,,5000,Free,,,,,,,tania@steamwork.net,,
CV Knights,www.cvknights.com,logo + name.png (https://dl.airtable.com/.attachments/ee0554320b59532bc358abc716083bde/46d9db8e/logoname.png),Assist candidates to boost their CV. Share your expert knowledge tailored to your own industry to make money providing advice.,Bootstrapped,2020,"London, England","North America, Europe","Writer, Tasks and Services",Freelance / project-based work,No,Yes,Yes,,"Computer (with internet connection), Bachelors Degree, Native English","Experience in the UK market is ideal, but not necessary",300,,150,Percentage Take Rate,10,,,,,,alejandro.mateo@cvknights.com,,
Songfinch,songfinch.com,A91F6F31-C622-444E-AD50-596FEA15D366.jpeg (https://dl.airtable.com/.attachments/cf911263203ecca5853b8139786f66f3/dc1af3f5/A91F6F31-C622-444E-AD50-596FEA15D366.jpeg),Write and perform personalized songs.,$4.0M,2017,,,"Audio Content Creator, Ecommerce",SMB (creation of a business),No,Yes,Yes,18,Computer (with internet connection),"Strong songwriter, vocals and ability to record and produce studio quality music",1500,,415,Percentage Take Rate,50,,,,,,rob@songfinch.com,,
TipSnaps,www.tipsnaps.com,blue logo.png (https://dl.airtable.com/.attachments/4342ad330b5b5e3219d85e3f5c360602/69e94c4e/bluelogo.png),A social media marketplace where anyone with a following can directly monetize their fanbase can share and sell exclusive content to their Loyal followers (Tippers). An adult-friendly but not adult-first platform.,Bootstrapped,2005,,,"Content Creator, Adult Content Creator",Creator (monetize audience and fans),Yes,No,Yes,18,"Computer (with internet connection),Smartphone (with data)",,500,,2500,Percentage Take Rate,15,,,"Since launch we have processed and paid out ~$2M for creators. We have 420k registered users, 8.5M unique visitors to the site and served up over 50M pageviews. We're very excited about 2020 and the future of the creator economy. Many of our users are looking for an alternative, less adult centric version of Onlyfans — that is what TipSnaps is!",Lyonel Dougé,https://twitter.com/lyoneldouge,ldouge@tipsnaps.com,,
ShareGrid,https://www.sharegrid.com/,sharegrid.png (https://dl.airtable.com/.attachments/f59fcbc4b0f078c525f7aea437c6d93c/c5353347/sharegrid.png),"Join the largest creative marketplace for filmmakers, photographers, and creators. Whether you have video/photo gear or a location to rent out, or want to put your creative skills out for hire, ShareGrid is the place to do it!",$1.4M,2014,,,"Rentals, Content Creator",SMB (creation of a business),No,No,Yes,18,"Computer (with internet connection),Smartphone (with data)",Ownership of photo/video gear or locations to rent out,430,,6675,Other,,"15% for gear rentals, 5% for gear sales",,We built ShareGrid to give artists freedom. To give them access to the tools they need and the financial freedom they desire in order to focus on their craft,Arash Shiva,https://twitter.com/ashiva,ashiva@sharegrid.com,,
Loopie,www.loopie.us,"Loopie Logo.png (https://dl.airtable.com/.attachments/5b50a6c968df265256f4cb3ebf798e2c/35731ffb/LoopieLogo.png),Loopie Icon.png (https://dl.airtable.com/.attachments/40ae9182902e59140c5bc92a743e00d0/3d07d8fe/LoopieIcon.png)","Certified Loopie Washers can earn money from the comfort of home using their in-unit washer and dryer to wash, dry, fold & package Loopie customers' laundry. Loopsters are provided with all the materials necessary to complete any Loopie order (detergent, dryer sheets, lint rollers, gloves, etc) and are paid on a per bag basis",$1M,2018,"Seattle, WA ",North America,Tasks and Services,Gig (work on your time),No,No,Yes,,"Smartphone (with data), Bank Account",In-unit washer and dryer,500,,20,Free,,,,,,,luke@loopie.io,Paid per bag,
Upcall,https://www.upcall.com/en/caller,,Get paid to make outbound phone calls for 400+ companies from home. ,$2M,2016,"San Francisco, CA",North America,Salesperson,Gig (work on your time),No,Yes,Yes,,Computer (with internet connection),Microphone,3500,,50,Other,,Upcall takes a small percentage of the bonuses made by Upcallers,,,,,michael@upcall.com,,
Launch Cart,https://launchcart.com,LaunchCart -01-01-01.png (https://dl.airtable.com/.attachments/960798633f34903bdf514b6cf0bdaab7/da9b7fdb/LaunchCart-01-01-01.png),"We make it dead simple to build start an e-commerce business with merch (tee's, hoodies, hats, etc 300+ products) with no upfront costs and no monthly fees.",$400k,2019,Escondido California,Worldwide,Ecommerce,SMB (creation of a business),No,No,Yes,,Computer (with internet connection),Product to sell,,,1100,Other,,3% platform fee & merchant fee (this is typically around 2.9% + .30 cents per transaction) OR $97/mo + 0% platform fee.,,"We have created the best and easiest platform on the net to create a ""merch"" stores for influencers, entrepreneurs and small business owners.  People are leaving Shopify daily to use Launch Cart because it is so simple and there are NO monthly fees!  Many are also earning over $100 per hour building stores for others!  We have amazing training and a sellers community to help you if you get stuck!",Greg Writer,,ceo@launchcart.com,,
Rally Network,www.rally.io,Rally_Name_Logo.png (https://dl.airtable.com/.attachments/6206e7c14268faab59ca6c91e227b03c/089fa65b/Rally_Name_Logo.png),Create your own cryptocurrency token to enable you to tokenize your digital brand and services.,$10M,2018,San Francisco,"North America, Europe, Australia","Content Creator,Gamer,Livestreamer",Creator (monetize audience and fans),Yes,Yes,No,,Computer (with internet connection),Light familiarity and willingness to learn cryptocurrency economics.,2000,,43,Free,,,,"Imagine being able to gamify your digital brand, provide new ways for your fans to engage you, and earn cryptocurrency that you can turn into real money to fund creating more content. With Rally, you create your very own cryptocurrency that you own 100%. Rally doesn't require any coding— our engineering team abstracts away all the complexity. Crypto is no longer cryptic with Rally. If you're crypto curious and looking to work with a serious crypto team focused on Content Creator monetary success, come check out our vibrant community on Discord and create your very own cryptocurrency today!",Kevin Chou,https://twitter.com/KevinChou,kchou@rally.io,Requires community approval,
Reach.Live,https://reach.live/,small-logo-dark-square copy.png (https://dl.airtable.com/.attachments/d02f49c068e7fe227d28c71f90e0e7ab/46203cf4/small-logo-dark-squarecopy.png),Host events and shows by sharing your skills and make a business out of it with an all in one platform,$0.15M,2020,Mountain View,"North America, Europe, Australia",Event Organizer,Creator (monetize audience and fans),Yes,No,Yes,,"Computer (with internet connection),Bank Account",,,,,Percentage Take Rate,10,,,,,,akarsh@reach.live,,
influence.co,influence.co,influence_icon.png (https://dl.airtable.com/.attachments/e4fde91f6afe6a4289245e961c369ab1/cb46576f/influence_icon.png),"Professional network for influencers, creators and the brands that work with them. Get paid to collaborate and create content for over 75K brands.",$4.5M,2016,Los Angeles,Worldwide,Content Creator,Creator (monetize audience and fans),Yes,No,Yes,,Computer (with internet connection),,,,50000,Free,,,,"We connect influencers, creators, and the professionals who work with them through inspiring content, supportive community, and collaborative commerce enabling everyone to pursue their passion and grow their business.",Niel Robertson,https://twitter.com/nielr1,nielr@influence.co,,
Trusty Oak,www.trustyoak.com,Logo.jpg (https://dl.airtable.com/.attachments/50447b86210511986da7eea203f71fc6/88ac299e/Logo.jpg),"Turn your marketing, task management, and other skills into a lucrative opportunity by becoming a Virtual Assistant on Trusty Oak — the main point of contact with clients and freelance professionals!",$0.5M,2015,"Austin, TX",North America,"Tasks and Services,Writer",Gig (work on your time),No,Yes,Yes,,"Computer (with internet connection),Smartphone (with data)","Permanent residence in the United States,At least two years of experience as an executive assistant, project manager, office manager or similar role
",3200,,40,Subscription Fee,29,,,"Trusty Oak was founded in 2015 to support driven people achieving big dreams. We exist first to serve an exclusive, collaborative community of the country’s top freelance virtual assistants by providing coaching and mentoring services, resources, and legitimate opportunities to be hired by their ideal clients.
",Amber Gray,https://twitter.com/ambergrayatx,sarah.olson@trustyoak.com,,
Onsite.fun,https://onsite.fun/,Frame 21.png (https://dl.airtable.com/.attachments/c97bc05fb1693591fd8fab8053bf563e/547cf2a7/Frame21.png),Offer teams and organization an interactive experience while you monetize your expertise and passion.,Bootstrapped,2020,Barcelona (Spain),Worldwide,Event Organizer,Creator (monetize audience and fans),No,Yes,Yes,,Computer (with internet connection),Material for the activity if applicable,2000,,4,Percentage Take Rate,20,,,At Onsite.fun we empower talented individuals to turn their passions into a profit via curated corporate experiences.,Joan Alavedra,https://twitter.com/joalavedra,jaume@onsite.fun,,
Flurly,https://flurly.com,logo.jpg (https://dl.airtable.com/.attachments/b36db223a5df3fc21240b7d0d618a1bb/e6e92406/logo.jpg),Flurly is a platform that allows you to sell any digital product and keep 99% of what you make after payment processing fees.,Bootstrapped,2020,Bay Area,North America,Ecommerce,SMB (creation of a business),No,No,Yes,,Computer (with internet connection),Digital product to sell,150,,7500,Percentage Take Rate,1,,,Flurly is the most affordable way to sell digital products online. Sell any digital product in under a minute and keep 99% of what you make after payment processing fees. No monthly fees either.,JR,https://twitter.com/thebuilderjr,hi@flurly.com,,
Collabstr,collabstr.com,logoFormatted.png (https://dl.airtable.com/.attachments/8345b0d4a40ad72cbf2e53c6e91a594b/d5d8827b/logoFormatted.png),"Find more brand deals by listing your TikTok & Instagram services on Collabstr, a public marketplace where your profile will be shown to brands that are most interested in working with you.",Bootstrapped,2020,"Vancouver, BC",North America,Content Creator,Creator (monetize audience and fans),Yes,No,Yes,,Computer (with internet connection),Must have an Instagram or TikTok account with organic growth/engagement,500,,1250,Percentage Take Rate,15,,,,,,kyle@collabstr.com,,
Markk Inc.,http://www.getmarkk.com,logo - wordmarkk.jpg (https://dl.airtable.com/.attachments/7c4482c32d31a968a49493af5f2946a7/726a0c17/logo-wordmarkk.jpg),Make money by sharing photos and short videos from the places you visit every day.,$2M,2019,Los Angeles,North America,Content Creator,Gig (work on your time),No,No,No,,Smartphone (with data),,150,,102,Free,,,,"Markk is an app for everyone to share real-time photos and videos from places, and earn money from EVERY post. In the last 6 months, our top 100 users have 'Markked' over 25K places and earned $10K in the process! They have also helped the community see what places are open, open for dine-in, socially-distanced etc. You don't need to create great videos, have editing skills, or have an existing audience — rate places, add stickers, Markk your world in real-time, earn money, and help your community",Sunil Mohan,https://www.linkedin.com/in/sunilmohan/,sunil@markk.app,,
Circletime Interactive,www.circletimefun.com,Circletime Logo - Square-black-transparent-ForLightBackground.png (https://dl.airtable.com/.attachments/7b9e8a63a5d6da5e5e5041eade5e1824/abebb1b4/CircletimeLogo-Square-black-transparent-ForLightBackground.png),"Turn your passion for nurturing creativity and sharing knowledge with kids into a virtual, interactive learning experience. ",Bootstrapped,2018,"New York, NY",Worldwide,"Teacher,Community Leader,Content Creator",Freelance / project-based work,No,Yes,Yes,,Computer (with internet connection),"We are looking for experienced teachers (online and offline) or subject-matter experts who believe in active, experiential and play-based learning. Montessori programs and experience a huge plus. Foreign language skills welcome. ",$50/hour,,20,,,,,"We are on a mission to provide teachers a dignified gig economy space as content creators. We provide support, professional development, community and growth opportunities. Our core audience is early childhood + young kids currently, but we are broadening at a rapid pace. ",Tatiana Feldman,https://twitter.com/itstatianafeld1,tfeldman@circletimefun.com,,
Hecto,https://hecto.io,hforhecto.jpg (https://dl.airtable.com/.attachments/5e51041eac8412a4b44f4e5df12d51ba/a8830efb/hforhecto.jpg),"Hecto is newsletter sponsorships, simplified. Newsletter owners big and small can find businesses that want to sponsor their newsletters and vice versa!",Bootstrapped,2020,UK,Worldwide,Content Creator,Creator (monetize audience and fans),Yes,No,Yes,,Computer (with internet connection),"Stripe account, Newsletter",,,30,Percentage Take Rate,10,,,"Hecto is an independent, bootstrapped business, created to support the independent business ecosystem. Our mission is to help independent businesses speak to their engaged target market through the influence of newsletter creators. Transparent sponsorship rates, direct messaging and payments via the platform are just some of the ways we're simplifying the process to make it more accessible for all.",Simon Bruce,https://twitter.com/hecto_io,admin@hecto.io,CPM ranges from $15 CPM to $250 CPM,
Rejoicy,https://rejoicy.com/,Rejoicy.jpg (https://dl.airtable.com/.attachments/8cd8f6797010f79a92a2223dda47f57c/de87a351/Rejoicy.jpg),Sell products to your local community or anywhere through your own e-commerce storefront and the Rejoicy marketplace.,$0.5M,2021,"Bentonville, AR",Worldwide,Ecommerce,SMB (creation of a business),No,Yes,Yes,,"Computer (with internet connection),Smartphone (with data)",Product to sell,30 - 13000,7,158,Other,,Free to create a storefront and list product. 5% per purchase or $35/mo,,"The Rejoicy platform was built to bring the joy back into small business ownership while encouraging shoppers to be excited to support local businesses. With our online marketplace, business owners can expand their reach, allowing community members to discover products and services from home. We want to connect local business owners, shoppers, and the overall community to catalyze not only small businesses but the local economy!",Edwin Ortiz,https://www.linkedin.com/in/edwinortizba/,edwin@rejoicy.com,,
Mav Farm,www.mav.farm,mavfarm-07.jpg (https://dl.airtable.com/.attachments/6f14f03503ce6ce1cba818e98d2a5cf7/0e7e0036/mavfarm-07.jpg),"Mav Farm is a platform that allows you to earn by creating, collaborating, and sharing video that sells your or other brands' products.",$5.1M,2016,Los Angeles,Worldwide,"Ecommerce,Content Creator,Livestreamer",Creator (monetize audience and fans),No,Yes,Yes,12,"Computer (with internet connection),Smartphone (with data)",,1000,1,30,Free,,,,"At Mav Farm, we believe that art, like information, has to be free. Our ecosystem bridges the gap between art, media, commerce, and intelligence and enables creators to build stronger and direct relationships with their audience and business collaborations. There are over 600k users watching and shopping from over 500 of their favorite creators, cultural influencers, and brands. Not only is Mav Farm helping creators and brands earn more for their creative efforts, it is also helping their audiences find new people and stories to engage with in unique and uncompromising ways.",Mateo Moreno,https://twitter.com/itscalamaritime,mateo@mav.farm,,
Questo,questoapp.com,Logo@1x.png (https://dl.airtable.com/.attachments/a1a42b2a39ac136ab92e6bf8b9c6e458/e04277f2/Logo1x.png),Earn a passive income by creating city exploration games based on storytelling. Help people discover new places and stories by playing quests and solving riddles.,$0.6M,2017,"Bucharest, Romania",Worldwide,Content Creator,Creator (monetize audience and fans),No,Yes,No,18,"Computer (with internet connection),Bank Account",Writing experience,500,60,75,Percentage Take Rate,20,,,Questo is a platform for city exploration games available in +100 cities worldwide. More than 100k people have already played with Questo while exploring the quests created by our global network of creators.,Alex Govoreanu,https://twitter.com/AlexGovoreanu,alex@questoapp.com,,
Object Limited,https://object.limited/,logo.png (https://dl.airtable.com/.attachments/85ccad31bf6dfd0728359203b0fbca89/758314f6/logo.png),Sell vintage clothes.,Undisclosed,2018,New York,"North America, Europe, Australia",Reseller,SMB (creation of a business),No,No,Yes,0,"Smartphone (with data),Bank Account",Clothes to sell,500,1,5000,Percentage Take Rate,15,,,,,,annazgray@gmail.com,,
Storetasker,https://www.storetasker.com,storetasker icon - square - white.png (https://dl.airtable.com/.attachments/68426c22c93ca40e312e393b30f65dca/afe43fe7/storetaskericon-square-white.png),"Help Shopify brands design, develop, and market their online business.",$2.8M,2016,"Brooklyn, New York",Worldwide,"Ecommerce,Tasks and Services","Project-based / Freelance services (e.g. Fiverr, Upwork)",No,Yes,Yes,18,"Computer (with internet connection),Bank Account,Background Check",Expert knowledge of Shopify and website development is needed.,5000,3,250,Other,,Project based pricing where 75-90% of the revenue goes to the Expert freelancer.,,,,,bobby@storetasker.com,,
Expat Mentors,https://expatmentors.io/,"2.png (https://dl.airtable.com/.attachments/c6146e731f7766941c03f1b4571a3331/f2938f2a/2.png),1.png (https://dl.airtable.com/.attachments/087718994ae1b4e98beea171e8d06cef/5b6a52a4/1.png)","Expat Mentors is the #1 mentorship platform for international lifestyle advice catering to ex-pats, global-minded founders, and mobile lifestyle seeking professionals.
Mentors can offer the a round of a light consultation and get paid for their advice or opt-in for 1:1 monthly coaching packages - offering a price at their own terms and time commitment.",Bootstrapped,2021,United Kingdom,Worldwide,"Coach,Tasks and Services",Gig (work on your time),No,Yes,Yes,,"Computer (with internet connection),Microphone",Expat experience,500,,,,,,,,,,mareike.popp@gmail.com,,
Steady,steadyhq.com,icon in circle_purple.png (https://dl.airtable.com/.attachments/8ec08ebdd70af4fbc97d640c918792bb/56711e1d/iconincircle_purple.png),"Journalists, media makers, and content creators offer memberships to earn a sustainable income for their work through their communities.",Undisclosed,2016,"Berlin, Germany",Europe,"Audio Content Creator,Content Creator,Writer",Creator (monetize audience and fans),Yes,No,Yes,18,Computer (with internet connection),Regularly publish content,,1,1100,Percentage Take Rate,10,,,,,,manuel.kronenberg@steadyhq.com,,
Postal App,https://www.postalapp.io,postal logo transparent1.png (https://dl.airtable.com/.attachments/49497078795bbe2079176fe562aab710/b68bdc2f/postallogotransparent1.png),"Use Postal to add a paywall to your email. Make unknown senders pay a fee to reach your inbox. Put a price on your attention!
With Postal you can mentor people, monetize your expertise, give feedback, collaborate with people, etc. for your own Price.",$0.05M,2020,"Lewes, Delaware","North America, Europe, Australia, Asia","Coach,Content Creator,Writer",Creator (monetize audience and fans),Yes,No,Yes,18,"Computer (with internet connection),Smartphone (with data),Bank Account",,,,10,Percentage Take Rate,5,,,"Postal liberates your inbox. You no longer have to fear sharing your email address. Postal adds a paywall to your inbox. Great things happen when you are easily reachable - you can mentor people, monetize your knowledge, give feedback, collaborate with people, etc. for your own Price!",Ranjith Parasuraman,https://www.linkedin.com/in/ranjithajay/](https://www.linkedin.com/in/ranjithajay/,hello@postalapp.io,,
SuperChef,https://super-chef.co/?utm_source=sidehustlestack&utm_medium=email&utm_campaign=SideHustleStack,superchef-logo-carré.jpg (https://dl.airtable.com/.attachments/9583a7ff3bf03d374f0544a83a1ae065/dfc38b60/superchef-logo-carre.jpg),Where top chefs leverage their superpowers: provide live cooking classes.,Currently Raising,2020,"London, UK","North America, Europe, Australia, Asia",Chef,Creator (monetize audience and fans),Yes,Yes,Yes,18,"Computer (with internet connection),Bank Account","No specific qualifications, just creative talent, and willpower",6400,1,50,Percentage Take Rate,13,,https://super-chef.co/chefs?utm_source=sidehustlestack&utm_medium=email&utm_campaign=SideHustleStack,,,,florent@super-chef.co,,
Musetown,muse.town,,Get matched with brands you like and create a brand story in your content that your fans would find fun and useful.,Undisclosed,2018,Bay Area,North America,Content Creator,Creator (monetize audience and fans),Yes,Yes,Yes,,Computer (with internet connection),Creativity and a PayPal account,,60,2500,Free,,,,Musetown is a platform where brands and creators work together to create fun and useful content for people. We bring both creative and financially rewarding opportunities to creators and support their creative journey while allowing brands to create brand stories with creators.,Sungho Lee,,sungho@muse.town,~$750/video (but depends largely on size of creator audience),
SamCart,https://www.samcart.com/,SamCartlogo.jpg (https://dl.airtable.com/.attachments/4ee0c804bd77c81af5a9059fb0509b5c/591c19cf/SamCartlogo.jpg),"Create beautiful sites that showcase + sell your online courses, digital or physical products, services, and more. ",$13M,2014,"Austin, TX",Worldwide,"Content Creator,Ecommerce",SMB (creation of a business),No,No,Yes,,Computer (with internet connection),,,,14000,Subscription Fee,49,,,,,,aschmidt@samcart.com,,
inSTREAMLY,https://instreamly.com/streamers/,"logo-full-dark.png (https://dl.airtable.com/.attachments/9b1f3259492872cea8f74e596790bd30/d37d4344/logo-full-dark.png),ins na discrd.png (https://dl.airtable.com/.attachments/5f6e9d76463a06704c2b87bd264396ed/559b9198/insnadiscrd.png)",Monetize your live stream through micro-sponsorships with top brands.,Currently Raising,2019,"Warsaw, Poland",Worldwide,"Gamer,Livestreamer",Creator (monetize audience and fans),No,No,Yes,,Computer (with internet connection),Anything you need to livestream,100,0,2000,Free,,,https://streamer.instreamly.com/register/referral?streamer=sidehustlestack,"Until now only the biggest streamers were able to get sponsored by major brands. With inSTREAMLY technology, we democratize the world of live streaming sponsorships and bring opportunities that were previously reserved to the top 0.01% to all streamers. ",Wiktoria Wójcik,https://twitter.com/vikivojcik,wiktoria.wojcik@instreamly.com,,
